x,y,v,th,gx,gy,gvx,gvy,Value_costs,Policy_costs
0.913977,0.4627508,0.34570956,-2.728398,-0.43850017,0.016782582,-0.32067963,-0.35361487,2.6354067,2.2264102
0.5853071,-0.96466684,0.040293097,1.4811195,-0.6555453,-0.31121135,-0.18881364,-0.12363654,2.6870813,2.1599495
-0.06944978,0.7175466,1.8762184,-0.58176637,-0.028455019,0.76805365,-0.26776814,0.2082849,2.6612442,1.90627
-0.91645133,-0.1742686,0.055944562,-2.4748302,-0.6553553,-0.71066135,-0.02532406,0.18019128,0.93014354,0.59913313
0.9689572,0.8048669,1.2209361,-1.0406218,-0.52700675,0.19146766,0.20821352,0.19789806,3.0229666,2.3787472
-0.79960513,0.9056008,0.8307142,0.17076097,-0.27261338,0.3659224,0.056890823,-0.3309729,1.2660288,0.90968287
0.74124765,-0.0701642,1.8798009,-0.626918,-0.76763326,-0.87237996,-0.17905298,0.0057433606,4.6248803,3.3708487
0.7742914,0.14380419,0.6610633,-0.025593437,0.59836626,0.16343267,-0.08893762,-0.34131408,1.0076555,0.6783463
-0.84391105,-0.30165982,1.1731027,-1.8828769,0.077541806,0.24748173,0.3132665,0.28327012,3.8239236,3.1077967
0.84900105,0.9357374,0.8158239,-1.3069981,-0.8430182,0.07428893,0.17968273,-0.31406018,3.2038279,2.6383138
0.12274277,0.96417,0.7197324,-2.4469051,0.64856404,-0.08615598,0.3635632,-0.056864787,2.3253589,1.9133539
0.29247105,-0.36848044,0.60468054,-2.7522645,0.026715338,-0.392858,0.012650013,-0.14646588,0.54258376,0.1450091
0.9680866,-0.49184835,1.6027015,-1.8086964,0.5573506,0.055487394,-0.36619082,-0.1197834,2.2478468,1.7078805
0.2782011,0.97101164,0.7859911,-0.11810866,-0.7820407,-0.34415874,-0.08192711,0.35667306,3.8239236,3.17986
0.30960822,0.8452436,0.92887855,1.4285908,-0.6973931,0.49020866,0.04854398,-0.23507285,2.8679426,1.9808047
-0.9268416,-0.287261,1.6252996,1.9172776,0.7586598,0.13527323,-0.23059192,0.06606846,3.1779904,2.7464504
0.38985837,-0.047094584,1.8083252,-0.56195116,0.49511516,0.67194396,0.093312025,-0.08617439,2.1444976,1.4271753
-0.0026825666,0.588287,0.12094033,-2.631481,0.41528106,0.7368451,0.28521904,0.20724392,1.6535885,1.3633363
-0.15943217,-0.8896414,0.74186075,-0.36924335,-0.7607002,0.83241904,-0.13705717,0.02526908,4.6248803,3.7848244
-0.27798784,0.97343063,0.2632116,2.5999098,-0.438967,-0.6338067,-0.17838407,0.22988763,3.462201,2.7950783
